"Year","sublime_raw_freq","sublime_raw_prob","sublime_smoothed_avg_3","sublime_smoothed_avg_5","sublime_smoothed_avg_7","sublime_smoothed_avg_9","sublime_smoothed_avg_11","grotesque_raw_freq","grotesque_raw_prob","grotesque_smoothed_avg_3","grotesque_smoothed_avg_5","grotesque_smoothed_avg_7","grotesque_smoothed_avg_9","grotesque_smoothed_avg_11","beautiful_raw_freq","beautiful_raw_prob","beautiful_smoothed_avg_3","beautiful_smoothed_avg_5","beautiful_smoothed_avg_7","beautiful_smoothed_avg_9","beautiful_smoothed_avg_11","picturesque_raw_freq","picturesque_raw_prob","picturesque_smoothed_avg_3","picturesque_smoothed_avg_5","picturesque_smoothed_avg_7","picturesque_smoothed_avg_9","picturesque_smoothed_avg_11","arabesque_raw_freq","arabesque_raw_prob","arabesque_smoothed_avg_3","arabesque_smoothed_avg_5","arabesque_smoothed_avg_7","arabesque_smoothed_avg_9","arabesque_smoothed_avg_11","aesthetic_raw_freq","aesthetic_raw_prob","aesthetic_smoothed_avg_3","aesthetic_smoothed_avg_5","aesthetic_smoothed_avg_7","aesthetic_smoothed_avg_9","aesthetic_smoothed_avg_11"
1715,9,345.19791347039,148.432671190163,150.763885392543,306.183035756983,260.148006954299,218.705913843583,1,38.3553237189322,12.7851079063107,7.67106474378644,30.4937152302279,23.7173340679551,19.405091510145,37,1419.14697760049,883.566771038074,865.13939162112,994.704489278029,903.678216879515,917.60909666528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3784378437844,20.6270627062706,14.7336162187647,11.4594792812615,18.6566586303136
1716,0,0,188.141348408432,167.924965643612,144.25902417584,247.13047885271,339.740420445613,0,0,12.7851079063107,42.6912013223191,30.4937152302279,23.7173340679551,19.405091510145,10,1031.35313531353,1291.82332310697,920.194443639819,768.114841817768,917.480234779009,857.584352092376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103.135313531353,34.3784378437844,20.6270627062706,14.7336162187647,19.2229722320099,21.7703649963763
1717,2,219.226131754905,131.442271549189,164.083557498693,131.502555370509,267.291747949327,334.659443052763,0,0,58.3668942975544,42.6912013223191,30.4937152302279,23.7173340679551,19.405091510145,13,1424.96985640688,993.875013466135,985.315380787936,842.194700894853,741.903090424986,832.423840140467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3784378437844,20.6270627062706,24.7152500125841,26.6082238844599,21.7703649963763
1718,1,175.100682892663,158.406624674358,95.0439748046148,316.604335686646,264.177494611063,249.891625152607,1,175.100682892663,58.3668942975544,35.0201365785327,30.4937152302279,23.7173340679551,19.405091510145,3,525.30204867799,825.358930341887,855.203145692657,889.557260720025,754.967003866448,704.501607476092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6013500176177,34.2105735657342,26.6082238844599,21.7703649963763
1719,2,80.8930593755056,85.331247422723,374.206487267227,276.042776847011,284.379166104584,241.773872276487,0,0,58.3668942975544,35.0201365785327,25.0143832703805,23.7173340679551,19.405091510145,13,525.804885940786,606.564245580956,755.280142425231,739.33655099962,811.032299272479,681.771899422956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2904788522452,27.2677402857572,34.2105735657342,26.6082238844599,21.7703649963763
1720,0,0,492.235207229522,342.614661234834,316.316368781553,246.023842385652,277.067884781569,0,0,0,35.0201365785327,25.0143832703805,19.4556314325181,19.405091510145,11,768.585802124092,608.709602347094,543.806573055385,692.684368648328,653.349301761314,707.965902828028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.8714365567356,45.4462338095954,27.2677402857572,19.4769573469694,26.6082238844599,21.7703649963763
1721,21,1395.81256231306,485.693187968668,363.97755336466,284.998349959424,300.283202125207,261.626131076544,0,0,0,0,25.0143832703805,19.4556314325181,15.918243899333,8,531.738118976404,555.975310219383,579.703735090684,489.117246304487,593.013868688254,674.591789981685,0,0,0,0,0,0,3.98496869807088,0,0,0,0,0,0,0,1,66.4672648720505,45.4462338095954,27.2677402857572,19.4769573469694,15.1487446031985,21.7703649963763
1722,1,61.267001592942,579.664902482599,347.798941489559,329.7460006399,295.406812231898,277.719083972471,0,0,0,0,0,19.4556314325181,15.918243899333,6,367.602009557652,534.709329129514,474.542757902527,483.836130444202,551.576299786457,650.568543259774,0,0,0,0,0,4.87051729764218,3.98496869807088,0,0,0,0,0,0,0,0,0,22.1557549573502,27.2677402857572,19.4769573469694,15.1487446031985,12.3944274026169
1723,6,281.915143541794,114.394048378245,445.465789020759,343.23822397413,295.620345449957,286.329334409608,0,0,0,0,0,0,15.918243899333,15,704.787858854485,357.463289470712,418.492445008907,559.011394779906,578.442452308071,549.565727819459,0,0,0,0,6.26209366839709,4.87051729764218,3.98496869807088,0,0,0,0,0,0,0,0,0,0,13.2934529744101,19.4769573469694,15.1487446031985,12.3944274026169
1724,0,0,256.749793732597,201.37100110117,368.527149953444,321.514326248614,281.905475503206,0,0,0,0,0,0,0,0,0,397.707365503494,522.551168471769,558.798768958252,554.901785710586,536.294151100253,0,0,0,8.76693113575593,6.26209366839709,4.87051729764218,3.98496869807088,0,0,0,0,0,0,0,0,0,0,0,9.49532355315007,15.1487446031985,12.3944274026169
