Term,NObs,FreqObs,Obs.Exp,pValue,PMI_Term,PMI,NPMI,Stopword
peace,535,0.000143799,0.464006938,3.86E-52,peace,5.026583598,0.369143812,FALSE
b,1167,0.000313669,0.336117512,2.26E-262,b,4.729171135,0.369132898,FALSE
remember,209,5.62E-05,0.653125,1.59E-06,remember,5.371318269,0.369073216,FALSE
length,381,0.000102406,0.532867133,3.72E-24,length,5.154437369,0.369039992,FALSE
became,266,7.15E-05,0.577006508,4.54E-13,became,5.268491824,0.368651806,FALSE
tile,388,0.000104288,0.47960445,1.31E-34,tile,5.11590108,0.368531071,FALSE
need,275,7.39E-05,0.595238095,5.65E-12,need,5.262860396,0.368167548,FALSE
except,306,8.22E-05,0.579545455,1.38E-14,except,5.226667496,0.368130599,FALSE
whenever,115,3.09E-05,0.761589404,0.031677006,whenever,5.564009722,0.368121343,FALSE
ds,170,4.57E-05,0.658914729,2.45E-05,ds,5.417187333,0.367962449,FALSE
tree,213,5.73E-05,0.578804348,1.30E-10,tree,5.318204494,0.367590628,FALSE
replied,244,6.56E-05,0.589371981,3.48E-11,replied,5.286132255,0.367569299,FALSE
wanted,125,3.36E-05,0.714285714,0.004587894,wanted,5.51584913,0.367354299,FALSE
article,177,4.76E-05,0.643636364,4.66E-06,article,5.393430967,0.367289284,FALSE
fide,398,0.000106976,0.487148103,8.73E-34,fide,5.098987344,0.367141086,FALSE
poor,507,0.000136273,0.466850829,1.36E-48,poor,5.022588003,0.367129763,FALSE
gained,142,3.82E-05,0.739583333,0.00724448,gained,5.486531793,0.366985458,FALSE
sorrow,152,4.09E-05,0.694063927,0.00059256,sorrow,5.450331239,0.366922621,FALSE
beginning,250,6.72E-05,0.600961538,1.31E-10,beginning,5.276644429,0.366818808,FALSE
lie,591,0.000158851,0.402588556,1.06E-85,lie,4.938238481,0.366787076,FALSE
ill,699,0.000187879,0.388549194,7.10E-111,ill,4.883588513,0.36678612,FALSE
paris,228,6.13E-05,0.601583113,9.39E-10,paris,5.300838124,0.366735261,FALSE
carry,247,6.64E-05,0.567816092,5.76E-13,carry,5.26271213,0.366634775,FALSE
ra,183,4.92E-05,0.62244898,4.22E-07,ra,5.366372686,0.366504247,FALSE
obedience,180,4.84E-05,0.64516129,4.41E-06,obedience,5.380221817,0.36648191,FALSE
su,152,4.09E-05,0.663755459,9.39E-05,su,5.433812683,0.366461663,FALSE
field,220,5.91E-05,0.611111111,6.66E-09,field,5.310787647,0.366358805,FALSE
about,965,0.000259375,0.346250449,1.16E-202,about,4.761158734,0.366263516,TRUE
